"","H.sst.AEN","E.sst.AEN"
"1926-04-01",0.400017791049389,0.506391415425845
"1926-05-01",0.222707538836585,0.148299262393907
"1926-06-01",0.278682169614744,0.171344684265423
"1926-07-01",0.370581413411968,-0.0657203339643083
"1926-08-01",0.301406749807102,-0.0542943403525984
"1926-09-01",0.338522973215088,0.134442037441961
"1926-10-01",0.382734379203377,0.0996498644452871
"1926-11-01",-0.155941414390444,-0.137646146072749
"1926-12-01",-0.187577145090306,-0.315312923323603
"1927-01-01",-0.0637545933531077,-0.21978840736971
"1927-02-01",-0.130305988688232,-0.273583142778513
"1927-03-01",-0.295425569651645,-0.223544369810103
"1927-04-01",-0.49865957509546,-0.498846715676943
"1927-05-01",-0.452701484988188,-0.584110041464992
"1927-06-01",-0.22538077442866,-0.4737435007273
"1927-07-01",0.109203075940562,-0.483512915557858
"1927-08-01",-0.490195233307932,-0.576837448907614
"1927-09-01",0.0696874299341349,-0.352777581073289
"1927-10-01",0.238169344492248,0.0860182950320503
"1927-11-01",0.641192949263447,0.309831980301784
"1927-12-01",0.653640542037043,0.362449687502708
"1928-01-01",0.374555746868882,0.172030389187161
"1928-02-01",0.48305737792031,0.104939229464883
"1928-03-01",-0.312535803230047,-0.451137010461117
"1928-04-01",-0.360994203389164,-0.372429854808939
"1928-05-01",-0.120079838741999,-0.437516336387182
"1928-06-01",-0.644762579801456,-0.62182195362342
"1928-07-01",-0.414011718787849,-0.409781455023662
"1928-08-01",-0.481755939087694,-0.65175453444694
"1928-09-01",-0.572292974544287,-0.502021309389347
"1928-10-01",-0.11066912264711,-0.19745548564185
"1928-11-01",0.029739800096692,0.0318664256546927
"1928-12-01",0.423020763097218,0.0751859705016357
"1929-01-01",0.152172961694648,0.0453809260546698
"1929-02-01",0.305275169388984,-0.0411507427004741
"1929-03-01",-0.155220413648043,-0.159015706324541
"1929-04-01",0.291242575319887,-0.0295392200945355
"1929-05-01",-0.609023124962416,-0.631669859729989
"1929-06-01",-0.433903766069962,-1.28271148151405
"1929-07-01",-0.502464350462098,-0.852423374865056
"1929-08-01",-0.809339859052923,-0.762293622084824
"1929-09-01",-0.893389879874073,-1.20318559010278
